rains,waterlevels63000120,rains63000100,waterlevels63000100,waterlevels,waterlevels_smooth
0.5,236.07,0.5,199.66,83.39,83.39
0.0,236.06,0.0,199.66,83.41,83.4
0.0,236.06,0.0,199.65,83.42,83.42
0.5,236.06,0.0,199.65,83.43,83.43
0.5,236.06,0.0,199.65,83.44,83.45
0.0,236.06,0.0,199.64,83.45,83.46
0.0,236.05,0.0,199.64,83.46,83.47
0.0,236.05,0.0,199.63,83.47,83.47
0.0,236.05,0.0,199.62,83.48,83.48
0.5,236.06,1.0,199.61,83.49,83.48
1.0,236.06,0.5,199.6,83.49,83.48
0.5,236.21,1.0,199.59,83.49,83.49
1.5,236.13,0.5,199.58,83.49,83.49
1.0,236.09,0.5,199.59,83.49,83.49
0.5,236.07,0.0,199.59,83.49,83.49
0.0,236.06,0.5,199.58,83.49,83.49
0.0,236.06,0.5,199.58,83.48,83.49
0.5,236.06,0.0,199.57,83.48,83.49
0.0,236.06,0.5,199.57,83.48,83.49
0.5,236.06,0.0,199.57,83.48,83.49
0.0,236.06,0.5,199.56,83.48,83.49
1.0,236.19,0.5,199.56,83.49,83.49
0.0,236.21,0.0,199.55,83.49,83.49
0.0,236.13,0.0,199.56,83.49,83.49
0.0,236.09,0.0,199.56,83.49,83.49
0.5,236.07,0.0,199.56,83.49,83.49
0.0,236.07,0.0,199.56,83.49,83.49
0.0,236.07,0.0,199.56,83.49,83.49
0.0,236.24,0.0,199.55,83.49,83.49
0.5,236.18,0.5,199.55,83.49,83.49
0.0,236.11,0.0,199.56,83.49,83.49
0.0,236.08,0.0,199.57,83.49,83.49
0.0,236.08,0.0,199.56,83.49,83.49
0.0,236.08,0.5,199.56,83.49,83.49
0.5,236.1,0.0,199.55,83.49,83.49
0.0,236.22,0.0,199.54,83.49,83.49
0.0,236.22,0.0,199.55,83.49,83.49
0.0,236.19,0.0,199.56,83.49,83.48
0.0,236.12,0.0,199.57,83.48,83.48
0.0,236.09,0.0,199.58,83.48,83.48
0.0,236.09,0.0,199.58,83.48,83.48
0.0,236.23,0.0,199.58,83.47,83.48
0.0,236.21,0.0,199.58,83.47,83.47
0.0,236.12,0.0,199.6,83.47,83.47
0.0,236.09,0.0,199.6,83.47,83.47
0.0,236.22,0.0,199.61,83.47,83.46
0.0,236.25,0.0,199.61,83.47,83.46
0.0,236.16,0.0,199.63,83.46,83.46
0.0,236.1,0.0,199.64,83.46,83.46
0.0,236.09,0.0,199.64,83.45,83.46
0.0,236.09,0.5,199.64,83.45,83.45
0.0,236.19,0.0,199.64,83.45,83.45
0.0,236.19,0.0,199.65,83.45,83.45
0.0,236.19,0.0,199.65,83.45,83.45
0.0,236.18,0.0,199.66,83.45,83.45
0.0,236.17,0.0,199.67,83.45,83.44
0.0,236.18,0.0,199.68,83.44,83.44
0.0,236.11,0.0,199.68,83.44,83.44
0.0,236.24,0.0,199.68,83.44,83.44
0.0,236.23,0.0,199.69,83.44,83.44
0.0,236.2,0.0,199.7,83.44,83.44
0.0,236.12,0.0,199.72,83.44,83.44
0.0,236.09,0.0,199.72,83.44,83.44
0.0,236.08,0.0,199.71,83.44,83.44
0.0,236.22,0.0,199.71,83.44,83.44
0.0,236.23,0.0,199.7,83.44,83.44
0.0,236.18,0.0,199.72,83.44,83.44
0.0,236.11,0.0,199.73,83.44,83.44
0.0,236.09,0.0,199.73,83.44,83.44
0.0,236.2,0.0,199.73,83.44,83.44
0.0,236.2,0.0,199.73,83.44,83.44
0.5,236.18,1.0,199.74,83.44,83.44
0.0,236.11,0.5,199.76,83.44,83.44
2.0,236.09,1.5,199.77,83.44,83.44
0.5,236.08,0.0,199.77,83.44,83.44
0.0,236.19,0.0,199.77,83.45,83.45
0.0,236.19,0.0,199.77,83.45,83.45
0.0,236.19,0.0,199.77,83.45,83.45
0.0,236.19,0.5,199.78,83.45,83.45
0.0,236.16,0.0,199.78,83.45,83.46
1.0,236.11,1.0,199.78,83.45,83.46
0.0,236.09,1.0,199.78,83.46,83.46
0.0,236.24,0.0,199.78,83.47,83.47
0.0,236.23,0.0,199.78,83.47,83.47
1.0,236.16,0.0,199.81,83.47,83.48
2.0,236.11,1.5,199.81,83.48,83.48
1.5,236.09,0.5,199.81,83.49,83.49
2.0,236.22,0.5,199.81,83.49,83.49
0.0,236.23,0.0,199.82,83.5,83.5
1.0,236.23,1.0,199.82,83.5,83.51
1.5,236.19,0.5,199.85,83.5,83.51
0.5,236.12,0.5,199.86,83.51,83.52
1.0,236.22,1.0,199.89,83.52,83.52
1.0,236.23,0.5,199.89,83.52,83.53
0.0,236.26,0.0,199.9,83.53,83.53
0.0,236.24,0.5,199.93,83.54,83.54
0.5,236.23,0.0,199.94,83.55,83.54
0.0,236.23,0.0,199.97,83.55,83.54
0.0,236.23,0.0,199.98,83.55,83.55
0.0,236.25,0.0,199.98,83.55,83.55
0.0,236.29,0.0,199.98,83.55,83.55
0.0,236.31,0.0,199.98,83.55,83.55
0.0,236.32,0.0,199.98,83.55,83.55
0.0,236.32,0.0,199.98,83.55,83.55
0.0,236.29,0.0,200.22,83.55,83.55
0.0,236.35,0.0,200.25,83.54,83.54
0.0,236.31,0.0,200.29,83.54,83.54
0.0,236.28,0.0,200.33,83.54,83.54
0.0,236.29,0.0,200.37,83.54,83.54
0.0,236.34,0.0,200.38,83.54,83.53
0.0,236.28,0.0,200.42,83.53,83.53
0.0,236.3,0.0,200.45,83.52,83.53
0.0,236.31,0.0,200.49,83.52,83.52
0.0,236.31,0.0,200.53,83.52,83.52
0.0,236.31,0.0,200.57,83.52,83.52
0.0,236.25,0.0,200.58,83.52,83.52
0.0,236.28,0.0,200.62,83.52,83.52
0.0,236.28,0.0,200.65,83.52,83.51
0.0,236.33,0.0,200.69,83.51,83.51
0.0,236.28,0.0,200.73,83.51,83.51
0.0,236.28,0.0,200.74,83.51,83.51
0.0,236.28,0.0,200.78,83.51,83.51
0.0,236.25,0.0,200.81,83.51,83.5
0.0,236.24,0.0,200.82,83.5,83.5
0.0,236.25,0.0,200.85,83.5,83.5
0.0,236.27,0.0,200.86,83.5,83.5
0.0,236.27,0.0,200.9,83.5,83.5
0.0,236.28,0.0,200.93,83.49,83.49
0.0,236.22,0.0,200.94,83.49,83.49
0.0,236.25,0.0,200.97,83.49,83.49
0.0,236.28,0.0,200.97,83.49,83.49
0.0,236.27,0.0,200.98,83.49,83.49
0.0,236.24,0.0,201.01,83.49,83.49
0.0,236.24,0.0,201.02,83.49,83.49
0.0,236.23,0.0,201.05,83.49,83.49
0.0,236.24,0.0,201.05,83.49,83.49
0.0,236.24,0.0,201.06,83.49,83.49
0.0,236.24,0.0,201.09,83.48,83.49
0.0,236.23,0.0,201.09,83.48,83.49
0.0,236.23,0.0,201.1,83.48,83.49
0.0,236.23,0.5,201.13,83.48,83.49
0.0,236.23,0.0,201.14,83.49,83.49
0.5,236.26,0.0,201.17,83.5,83.49
0.5,236.21,0.5,201.17,83.5,83.49
0.0,236.21,0.5,201.18,83.5,83.5
0.5,236.21,0.5,201.21,83.5,83.5
0.5,236.21,0.5,201.21,83.5,83.5
0.0,236.21,0.0,201.22,83.5,83.5
0.0,236.21,0.0,201.22,83.5,83.5
0.0,236.21,0.0,201.25,83.5,83.5
0.0,236.19,0.0,201.25,83.5,83.5
0.0,236.2,0.0,201.26,83.5,83.5
0.0,236.2,0.0,201.26,83.5,83.5
0.0,236.21,0.0,201.26,83.5,83.5
0.0,236.22,0.5,201.26,83.5,83.5
0.0,236.23,0.0,201.29,83.5,83.5
0.0,236.21,0.0,201.29,83.5,83.5
0.0,236.2,0.0,201.3,83.5,83.5
0.0,236.2,0.0,201.3,83.5,83.5
0.0,236.19,0.0,201.3,83.5,83.5
0.0,236.2,0.0,201.3,83.5,83.5
0.0,236.21,0.0,201.3,83.49,83.49
0.0,236.21,0.0,201.3,83.49,83.49
0.0,236.21,0.0,201.33,83.49,83.49
0.0,236.21,0.0,201.33,83.49,83.49
0.0,236.22,0.0,201.33,83.49,83.49
0.0,236.22,0.0,201.34,83.49,83.49
0.0,236.19,0.0,201.34,83.49,83.49
0.0,236.19,0.0,201.37,83.49,83.49
0.0,236.19,0.0,201.37,83.49,83.48
0.0,236.17,0.0,201.38,83.48,83.48
0.0,236.17,0.0,201.38,83.48,83.48
0.0,236.17,0.0,201.38,83.48,83.48
0.0,236.17,0.0,201.38,83.48,83.48
0.0,236.18,0.0,201.41,83.48,83.48
0.0,236.17,0.0,201.41,83.48,83.48
0.0,236.15,0.0,201.41,83.48,83.48
0.0,236.09,0.0,201.41,83.47,83.47
0.0,236.19,0.0,201.41,83.47,83.47
0.0,236.2,0.0,201.41,83.47,83.47
0.5,236.2,0.0,201.41,83.47,83.46
0.0,236.18,0.0,201.41,83.47,83.46
0.5,236.19,1.0,201.42,83.47,83.46
0.5,236.18,1.0,201.42,83.47,83.46
0.5,236.18,0.5,201.42,83.45,83.46
0.5,236.16,0.0,201.42,83.45,83.46
0.0,236.1,0.0,201.45,83.45,83.45
0.0,236.15,0.0,201.45,83.45,83.45
0.0,236.21,0.0,201.45,83.45,83.46
1.5,236.21,0.5,201.45,83.45,83.46
1.5,236.24,2.0,201.46,83.45,83.46
0.5,236.19,0.0,201.46,83.47,83.46
0.0,236.19,0.0,201.49,83.47,83.47
0.0,236.18,0.0,201.49,83.47,83.47
0.0,236.18,0.0,201.49,83.47,83.48
0.5,236.19,0.5,201.5,83.48,83.49
0.5,236.19,0.0,201.5,83.48,83.49
2.5,236.19,2.0,201.5,83.49,83.5
0.0,236.19,0.5,201.53,83.51,83.51
1.5,236.19,1.0,201.53,83.51,83.51
0.5,236.12,0.5,201.53,83.52,83.52
0.0,236.09,0.0,201.53,83.52,83.52
0.5,236.25,0.0,201.53,83.53,83.53
0.5,236.23,0.5,201.53,83.54,83.53
0.0,236.21,0.0,201.54,83.54,83.54
0.0,236.22,0.0,201.54,83.54,83.54
0.0,236.25,0.0,201.57,83.54,83.54
0.0,236.27,0.0,201.58,83.55,83.55
0.0,236.25,0.0,201.62,83.55,83.55
0.5,236.25,0.0,201.65,83.55,83.55
1.0,236.26,1.0,201.66,83.55,83.55
0.5,236.29,0.5,201.69,83.54,83.55
0.5,236.3,0.5,201.73,83.54,83.55
0.5,236.28,0.5,201.74,83.55,83.55
0.0,236.28,0.5,201.78,83.55,83.55
1.0,236.27,0.5,201.81,83.55,83.55
0.0,236.27,0.0,201.85,83.55,83.55
0.5,236.25,0.5,201.86,83.55,83.55
0.0,236.25,0.0,201.89,83.55,83.55
0.0,236.25,0.0,201.9,83.55,83.56
0.0,236.25,0.0,201.94,83.56,83.56
1.5,236.28,1.0,201.97,83.56,83.56
0.0,236.29,0.5,201.98,83.56,83.57
0.0,236.29,0.0,202.02,83.57,83.57
0.5,236.29,1.5,202.05,83.57,83.57
0.0,236.3,0.5,202.06,83.57,83.58
0.5,236.3,0.5,202.1,83.57,83.58
0.5,236.28,0.5,202.13,83.59,83.59
0.0,236.29,0.0,202.17,83.59,83.59
0.5,236.29,0.5,202.18,83.6,83.6
0.0,236.29,0.5,202.22,83.6,83.6
0.5,236.32,0.0,202.26,83.6,83.6
0.0,236.32,0.5,202.3,83.61,83.6
0.5,236.31,0.0,202.34,83.61,83.6
0.0,236.29,0.0,202.38,83.6,83.61
0.5,236.29,0.5,202.41,83.61,83.61
0.0,236.32,0.0,202.45,83.61,83.61
0.0,236.32,0.0,202.49,83.61,83.61
0.0,236.34,0.5,202.53,83.6,83.61
0.0,236.3,0.0,202.58,83.6,83.61
0.0,236.31,0.0,202.62,83.6,83.6
0.0,236.3,0.0,202.66,83.6,83.6
0.0,236.31,0.0,202.7,83.6,83.6
0.0,236.31,0.0,202.74,83.6,83.6
0.0,236.32,0.0,202.78,83.6,83.59
0.0,236.3,0.0,202.82,83.6,83.59
0.0,236.3,0.0,202.86,83.6,83.58
0.0,236.27,0.0,202.9,83.59,83.58
0.0,236.31,0.0,202.93,83.57,83.58
0.0,236.31,0.0,202.94,83.57,83.57
0.0,236.32,0.0,202.98,83.57,83.57
0.0,236.3,0.0,203.01,83.57,83.57
0.0,236.3,0.0,203.02,83.56,83.57
0.0,236.3,0.0,203.06,83.56,83.57
0.0,236.3,0.0,203.09,83.56,83.57
1.5,236.31,1.0,203.1,83.56,83.57
3.0,236.3,3.0,203.14,83.56,83.58
1.5,236.32,2.0,203.18,83.57,83.58
0.5,236.3,0.5,203.22,83.58,83.59
0.0,236.31,0.0,203.25,83.59,83.6
0.0,236.32,0.0,203.29,83.6,83.6
0.5,236.35,0.5,203.33,83.62,83.61
0.0,236.37,0.0,203.38,83.63,83.62
0.0,236.32,0.0,203.42,83.63,83.62
0.0,236.34,0.0,203.49,83.63,83.62
0.0,236.37,0.0,203.53,83.63,83.63
0.0,236.37,0.0,203.58,83.63,83.63
0.0,236.37,0.5,203.65,83.63,83.63
0.0,236.37,0.0,203.69,83.63,83.63
0.5,236.37,0.0,203.74,83.62,83.62
0.0,236.37,0.0,203.81,83.62,83.62
0.0,236.36,0.0,203.86,83.61,83.62
0.0,236.34,0.0,203.9,83.61,83.61
0.0,236.38,0.0,203.94,83.61,83.61
0.0,236.37,0.0,204.01,83.61,83.61
0.0,236.37,0.0,204.05,83.61,83.61
0.0,236.36,0.0,204.1,83.6,83.6
0.0,236.36,0.0,204.14,83.6,83.6
0.0,236.34,0.0,204.18,83.6,83.6
0.0,236.35,0.0,204.22,83.6,83.6
0.0,236.34,0.0,204.26,83.6,83.6
0.0,236.36,0.0,204.3,83.6,83.59
0.0,236.35,0.0,204.37,83.6,83.59
0.0,236.34,0.0,204.41,83.59,83.59
0.0,236.35,0.0,204.45,83.58,83.59
0.0,236.36,0.0,204.49,83.58,83.58
0.0,236.35,0.0,204.53,83.58,83.58
0.0,236.27,0.0,204.57,83.58,83.58
0.0,236.31,0.0,204.61,83.58,83.58
0.0,236.33,0.0,204.65,83.57,83.57
0.0,236.33,0.0,204.69,83.57,83.57
0.0,236.33,0.0,204.7,83.57,83.57
0.0,236.31,0.0,204.74,83.57,83.57
0.0,236.32,0.0,204.78,83.57,83.57
0.0,236.31,0.0,204.81,83.56,83.56
0.0,236.29,0.0,204.85,83.56,83.56
0.0,236.26,0.0,204.86,83.56,83.56
0.0,236.32,0.0,204.89,83.56,83.56
0.0,236.31,0.0,204.9,83.56,83.56
0.0,236.3,0.0,204.93,83.56,83.56
0.0,236.3,0.0,204.94,83.56,83.55
0.0,236.25,0.0,204.97,83.56,83.55
0.0,236.29,0.0,205.01,83.55,83.55
0.0,236.28,0.0,205.02,83.55,83.55
0.0,236.28,0.0,205.05,83.55,83.55
0.0,236.28,0.0,205.06,83.55,83.55
0.0,236.28,0.0,205.09,83.54,83.54
0.0,236.27,0.0,205.1,83.54,83.54
0.0,236.31,0.0,205.13,83.54,83.54
0.0,236.27,0.0,205.14,83.54,83.54
0.0,236.27,0.0,205.17,83.54,83.53
0.0,236.27,0.0,205.18,83.54,83.54
0.5,236.25,1.5,205.21,83.54,83.54
2.0,236.26,2.0,205.21,83.54,83.54
0.5,236.26,1.0,205.22,83.54,83.55
0.5,236.27,1.0,205.25,83.54,83.56
1.5,236.27,1.5,205.26,83.54,83.56
3.0,236.27,2.5,205.3,83.55,83.57
1.0,236.27,1.5,205.33,83.57,83.58
1.0,236.27,1.0,205.37,83.58,83.59
0.5,236.31,0.0,205.38,83.6,83.6
0.0,236.33,0.0,205.42,83.62,83.61
0.0,236.34,0.5,205.46,83.64,83.62
0.5,236.38,0.5,205.5,83.65,83.63
1.0,236.39,1.5,205.54,83.65,83.64
1.0,236.38,0.5,205.61,83.65,83.65
