times,temperature,humidity,winddirection,windpower,rains,waterlevels63000120,rains63000100,waterlevels63000100,waterlevels
2021-02-26 00:00:00,9.0,99.0,1,2.0,0.5,236.07,0.5,199.66,83.39
2021-02-26 01:00:00,9.0,98.0,1,1.0,0.0,236.06,0.0,199.66,83.41
2021-02-26 02:00:00,9.0,98.0,1,2.0,0.0,236.06,0.0,199.65,83.42
2021-02-26 03:00:00,10.0,93.0,1,1.0,0.5,236.06,0.0,199.65,83.43
2021-02-26 04:00:00,9.0,100.0,1,2.0,0.5,236.06,0.0,199.65,83.44
2021-02-26 05:00:00,9.0,100.0,1,3.0,0.0,236.06,0.0,199.64,83.45
2021-02-26 06:00:00,8.0,100.0,1,2.0,0.0,236.05,0.0,199.64,83.46
2021-02-26 07:00:00,8.0,100.0,8,2.0,0.0,236.05,0.0,199.63,83.47
2021-02-26 08:00:00,8.0,100.0,1,2.0,0.0,236.05,0.0,199.62,83.48
2021-02-26 09:00:00,8.0,100.0,1,2.0,0.5,236.06,1.0,199.61,83.49
2021-02-26 10:00:00,9.0,100.0,1,3.0,1.0,236.06,0.5,199.6,83.49
2021-02-26 11:00:00,9.0,100.0,1,2.0,0.5,236.21,1.0,199.59,83.49
2021-02-26 12:00:00,9.0,100.0,1,2.0,1.5,236.13,0.5,199.58,83.49
2021-02-26 13:00:00,9.0,100.0,8,3.0,1.0,236.09,0.5,199.59,83.49
2021-02-26 14:00:00,9.0,100.0,1,2.0,0.5,236.07,0.0,199.59,83.49
2021-02-26 15:00:00,8.0,100.0,1,2.0,0.0,236.06,0.5,199.58,83.49
2021-02-26 16:00:00,8.0,100.0,1,2.0,0.0,236.06,0.5,199.58,83.48
2021-02-26 17:00:00,8.0,100.0,1,2.0,0.5,236.06,0.0,199.57,83.48
2021-02-26 18:00:00,8.0,100.0,1,2.0,0.0,236.06,0.5,199.57,83.48
2021-02-26 19:00:00,8.0,100.0,1,2.0,0.5,236.06,0.0,199.57,83.48
2021-02-26 20:00:00,8.0,100.0,1,2.0,0.0,236.06,0.5,199.56,83.48
2021-02-26 21:00:00,8.0,100.0,8,1.0,1.0,236.19,0.5,199.56,83.49
2021-02-26 22:00:00,8.0,100.0,1,2.0,0.0,236.21,0.0,199.55,83.49
2021-02-26 23:00:00,9.0,100.0,1,2.0,0.0,236.13,0.0,199.56,83.49
2021-02-27 00:00:00,8.0,100.0,1,2.0,0.0,236.09,0.0,199.56,83.49
2021-02-27 01:00:00,8.0,100.0,8,2.0,0.5,236.07,0.0,199.56,83.49
