temperature,humidity,windpower,rains,waterlevels63000120,rains63000100,waterlevels63000100,waterlevels
9.0,99.0,2.0,0.5,236.07,0.5,199.66,83.39
9.0,98.0,1.0,0.0,236.06,0.0,199.66,83.41
9.0,98.0,2.0,0.0,236.06,0.0,199.65,83.42
10.0,93.0,1.0,0.5,236.06,0.0,199.65,83.43
9.0,100.0,2.0,0.5,236.06,0.0,199.65,83.44
9.0,100.0,3.0,0.0,236.06,0.0,199.64,83.45
8.0,100.0,2.0,0.0,236.05,0.0,199.64,83.46
8.0,100.0,2.0,0.0,236.05,0.0,199.63,83.47
8.0,100.0,2.0,0.0,236.05,0.0,199.62,83.48
8.0,100.0,2.0,0.5,236.06,1.0,199.61,83.49
9.0,100.0,3.0,1.0,236.06,0.5,199.6,83.49
9.0,100.0,2.0,0.5,236.21,1.0,199.59,83.49
9.0,100.0,2.0,1.5,236.13,0.5,199.58,83.49
9.0,100.0,3.0,1.0,236.09,0.5,199.59,83.49
9.0,100.0,2.0,0.5,236.07,0.0,199.59,83.49
8.0,100.0,2.0,0.0,236.06,0.5,199.58,83.49
8.0,100.0,2.0,0.0,236.06,0.5,199.58,83.48
8.0,100.0,2.0,0.5,236.06,0.0,199.57,83.48
8.0,100.0,2.0,0.0,236.06,0.5,199.57,83.48
8.0,100.0,2.0,0.5,236.06,0.0,199.57,83.48
8.0,100.0,2.0,0.0,236.06,0.5,199.56,83.48
8.0,100.0,1.0,1.0,236.19,0.5,199.56,83.49
8.0,100.0,2.0,0.0,236.21,0.0,199.55,83.49
9.0,100.0,2.0,0.0,236.13,0.0,199.56,83.49
8.0,100.0,2.0,0.0,236.09,0.0,199.56,83.49
8.0,100.0,2.0,0.5,236.07,0.0,199.56,83.49
8.0,100.0,2.0,0.0,236.07,0.0,199.56,83.49
8.0,100.0,2.0,0.0,236.07,0.0,199.56,83.49
8.0,100.0,2.0,0.0,236.24,0.0,199.55,83.49
8.0,100.0,2.0,0.5,236.18,0.5,199.55,83.49
8.0,100.0,2.0,0.0,236.11,0.0,199.56,83.49
8.0,100.0,2.0,0.0,236.08,0.0,199.57,83.49
8.0,100.0,2.0,0.0,236.08,0.0,199.56,83.49
8.0,98.0,2.0,0.0,236.08,0.5,199.56,83.49
9.0,100.0,1.0,0.5,236.1,0.0,199.55,83.49
9.0,100.0,2.0,0.0,236.22,0.0,199.54,83.49
9.0,99.0,2.0,0.0,236.22,0.0,199.55,83.49
9.0,97.0,2.0,0.0,236.19,0.0,199.56,83.49
10.0,93.0,2.0,0.0,236.12,0.0,199.57,83.48
10.0,91.0,2.0,0.0,236.09,0.0,199.58,83.48
10.0,90.0,1.0,0.0,236.09,0.0,199.58,83.48
10.0,91.0,1.0,0.0,236.23,0.0,199.58,83.47
10.0,92.0,1.0,0.0,236.21,0.0,199.58,83.47
10.0,93.0,1.0,0.0,236.12,0.0,199.6,83.47
10.0,94.0,1.0,0.0,236.09,0.0,199.6,83.47
10.0,97.0,2.0,0.0,236.22,0.0,199.61,83.47
10.0,99.0,1.0,0.0,236.25,0.0,199.61,83.47
8.0,100.0,2.0,0.0,236.16,0.0,199.63,83.46
9.0,100.0,2.0,0.0,236.1,0.0,199.64,83.46
9.0,100.0,1.0,0.0,236.09,0.0,199.64,83.45
9.0,100.0,1.0,0.0,236.09,0.5,199.64,83.45
9.0,100.0,1.0,0.0,236.19,0.0,199.64,83.45
9.0,100.0,1.0,0.0,236.19,0.0,199.65,83.45
9.0,100.0,1.0,0.0,236.19,0.0,199.65,83.45
10.0,100.0,1.0,0.0,236.18,0.0,199.66,83.45
10.0,100.0,1.0,0.0,236.17,0.0,199.67,83.45
10.0,100.0,2.0,0.0,236.18,0.0,199.68,83.44
10.0,100.0,1.0,0.0,236.11,0.0,199.68,83.44
11.0,100.0,1.0,0.0,236.24,0.0,199.68,83.44
12.0,100.0,1.0,0.0,236.23,0.0,199.69,83.44
13.0,88.0,2.0,0.0,236.2,0.0,199.7,83.44
14.0,84.0,1.0,0.0,236.12,0.0,199.72,83.44
14.0,78.0,2.0,0.0,236.09,0.0,199.72,83.44
15.0,73.0,2.0,0.0,236.08,0.0,199.71,83.44
15.0,75.0,2.0,0.0,236.22,0.0,199.71,83.44
15.0,73.0,1.0,0.0,236.23,0.0,199.7,83.44
14.0,80.0,1.0,0.0,236.18,0.0,199.72,83.44
13.0,85.0,1.0,0.0,236.11,0.0,199.73,83.44
13.0,90.0,2.0,0.0,236.09,0.0,199.73,83.44
12.0,93.0,2.0,0.0,236.2,0.0,199.73,83.44
12.0,94.0,1.0,0.0,236.2,0.0,199.73,83.44
9.0,100.0,2.0,0.5,236.18,1.0,199.74,83.44
12.0,98.0,1.0,0.0,236.11,0.5,199.76,83.44
12.0,99.0,2.0,2.0,236.09,1.5,199.77,83.44
12.0,100.0,2.0,0.5,236.08,0.0,199.77,83.44
12.0,100.0,2.0,0.0,236.19,0.0,199.77,83.45
12.0,100.0,2.0,0.0,236.19,0.0,199.77,83.45
12.0,100.0,1.0,0.0,236.19,0.0,199.77,83.45
12.0,100.0,2.0,0.0,236.19,0.5,199.78,83.45
12.0,99.0,1.0,0.0,236.16,0.0,199.78,83.45
12.0,100.0,2.0,1.0,236.11,1.0,199.78,83.45
13.0,100.0,1.0,0.0,236.09,1.0,199.78,83.46
13.0,100.0,1.0,0.0,236.24,0.0,199.78,83.47
13.0,100.0,1.0,0.0,236.23,0.0,199.78,83.47
13.0,100.0,1.0,1.0,236.16,0.0,199.81,83.47
12.0,99.0,3.0,2.0,236.11,1.5,199.81,83.48
12.0,100.0,2.0,1.5,236.09,0.5,199.81,83.49
12.0,100.0,2.0,2.0,236.22,0.5,199.81,83.49
12.0,100.0,1.0,0.0,236.23,0.0,199.82,83.5
11.0,100.0,1.0,1.0,236.23,1.0,199.82,83.5
11.0,98.0,2.0,1.5,236.19,0.5,199.85,83.5
10.0,98.0,2.0,0.5,236.12,0.5,199.86,83.51
9.0,92.0,3.0,1.0,236.22,1.0,199.89,83.52
8.0,98.0,2.0,1.0,236.23,0.5,199.89,83.52
8.0,97.0,3.0,0.0,236.26,0.0,199.9,83.53
12.0,96.0,1.0,0.0,236.24,0.5,199.93,83.54
7.0,95.0,2.0,0.5,236.23,0.0,199.94,83.55
8.0,90.0,2.0,0.0,236.23,0.0,199.97,83.55
7.0,94.0,1.0,0.0,236.23,0.0,199.98,83.55
7.0,96.0,2.0,0.0,236.25,0.0,199.98,83.55
6.0,95.0,2.0,0.0,236.29,0.0,199.98,83.55
5.0,93.0,3.0,0.0,236.31,0.0,199.98,83.55
5.0,93.0,3.0,0.0,236.32,0.0,199.98,83.55
5.0,91.0,1.0,0.0,236.32,0.0,199.98,83.55
6.0,87.0,2.0,0.0,236.29,0.0,200.22,83.55
7.0,74.0,4.0,0.0,236.35,0.0,200.25,83.54
7.0,70.0,3.0,0.0,236.31,0.0,200.29,83.54
10.0,66.0,2.0,0.0,236.28,0.0,200.33,83.54
10.0,53.0,3.0,0.0,236.29,0.0,200.37,83.54
11.0,48.0,2.0,0.0,236.34,0.0,200.38,83.54
11.0,42.0,3.0,0.0,236.28,0.0,200.42,83.53
12.0,38.0,3.0,0.0,236.3,0.0,200.45,83.52
11.0,29.0,4.0,0.0,236.31,0.0,200.49,83.52
11.0,32.0,3.0,0.0,236.31,0.0,200.53,83.52
9.0,38.0,4.0,0.0,236.31,0.0,200.57,83.52
8.0,50.0,3.0,0.0,236.25,0.0,200.58,83.52
7.0,58.0,2.0,0.0,236.28,0.0,200.62,83.52
7.0,60.0,2.0,0.0,236.28,0.0,200.65,83.52
7.0,62.0,1.0,0.0,236.33,0.0,200.69,83.51
7.0,95.0,2.0,0.0,236.28,0.0,200.73,83.51
6.0,77.0,2.0,0.0,236.28,0.0,200.74,83.51
6.0,79.0,1.0,0.0,236.28,0.0,200.78,83.51
6.0,80.0,1.0,0.0,236.25,0.0,200.81,83.51
5.0,81.0,1.0,0.0,236.24,0.0,200.82,83.5
5.0,87.0,2.0,0.0,236.25,0.0,200.85,83.5
5.0,86.0,1.0,0.0,236.27,0.0,200.86,83.5
5.0,87.0,1.0,0.0,236.27,0.0,200.9,83.5
6.0,85.0,1.0,0.0,236.28,0.0,200.93,83.49
6.0,82.0,2.0,0.0,236.22,0.0,200.94,83.49
8.0,68.0,2.0,0.0,236.25,0.0,200.97,83.49
